,Ahmedabad_AQI,Aizawl_AQI,Amaravati_AQI,Amritsar_AQI,Bengaluru_AQI,Bhopal_AQI,Brajrajnagar_AQI,Chandigarh_AQI,Chennai_AQI,Coimbatore_AQI,Delhi_AQI,Ernakulam_AQI,Gurugram_AQI,Guwahati_AQI,Hyderabad_AQI,Jaipur_AQI,Jorapokhar_AQI,Kochi_AQI,Kolkata_AQI,Lucknow_AQI,Mumbai_AQI,Patna_AQI,Shillong_AQI,Talcher_AQI,Thiruvananthapuram_AQI,Visakhapatnam_AQI,India_AQI
2018-06-01,430.5,,90.03333333333333,213.0,66.93333333333334,,116.92307692307692,,96.86666666666666,,224.36666666666667,,261.93333333333334,,65.6,171.16666666666666,125.71428571428571,,75.33333333333333,174.93333333333334,82.20689655172414,147.46666666666667,,132.68421052631578,55.5,102.41666666666667,146.30991498418905
2018-07-01,453.80645161290323,,65.53333333333333,68.22222222222223,61.774193548387096,,88.38709677419355,,93.3225806451613,,112.41935483870968,,105.09677419354838,,54.25806451612903,110.03225806451613,86.37037037037037,,51.61290322580645,97.41935483870968,69.17241379310344,95.12903225806451,,114.25806451612904,53.41935483870968,91.5,103.98521242166652
2018-08-01,465.51612903225805,,69.57142857142857,60.21739130434783,62.83870967741935,,73.73333333333333,,86.48387096774194,,122.06451612903226,,131.25806451612902,,54.096774193548384,105.0,118.87096774193549,,70.3225806451613,100.03225806451613,74.80645161290323,103.70967741935483,,111.5625,76.64516129032258,97.0,110.20721191663512
2018-09-01,557.6296296296297,,80.8076923076923,56.464285714285715,76.16666666666667,,,,96.46666666666667,,121.93333333333334,,139.6086956521739,,79.03333333333333,99.0,94.5,,83.06666666666666,107.6,87.23333333333333,123.65517241379311,,17.0,59.827586206896555,104.73333333333333,116.74861148575322
2018-10-01,681.3870967741935,,107.33333333333333,127.29032258064517,94.70967741935483,,113.64285714285714,,104.03225806451613,,290.4193548387097,,306.64516129032256,,110.06451612903226,148.1290322580645,226.19230769230768,,163.06451612903226,264.61290322580646,122.46153846153847,249.90322580645162,,90.52380952380952,71.74193548387096,141.61290322580646,189.6537082988696
2018-11-01,955.3666666666667,,112.3157894736842,141.03571428571428,104.2,,190.33333333333334,,118.83333333333333,,367.06666666666666,,324.7,,110.96666666666667,178.13333333333333,339.34615384615387,,283.6666666666667,351.6,155.46153846153845,367.2,,305.0,97.2,120.9,256.8514368185421
2018-12-01,665.3870967741935,,172.1851851851852,129.3548387096774,119.0,,207.5,,139.03225806451613,,400.38709677419354,,291.1290322580645,,133.32258064516128,164.74193548387098,345.7142857142857,,338.258064516129,344.6774193548387,153.0,406.8666666666667,,279.6190476190476,125.35483870967742,173.15384615384616,254.9268995905196
2019-01-01,755.516129032258,,218.61290322580646,94.63333333333334,116.80645161290323,,259.96774193548384,,131.0,,365.741935483871,,291.4193548387097,,133.29032258064515,150.29032258064515,324.61290322580646,,360.83870967741933,315.51612903225805,165.51612903225808,405.2903225806452,,289.4,128.16129032258064,263.1290322580645,264.9857228195938
2019-02-01,560.5357142857143,,114.46428571428571,94.89285714285714,106.25,,208.25925925925927,,118.07142857142857,,258.17857142857144,,184.39285714285714,168.54545454545453,113.25,118.71428571428571,187.21428571428572,,266.07142857142856,243.07142857142858,149.82142857142858,296.10714285714283,,322.55555555555554,88.42857142857143,152.30769230769232,197.4280130201183
2019-03-01,601.741935483871,,79.96774193548387,99.73333333333333,122.12903225806451,,186.8709677419355,,101.41935483870968,,197.3548387096774,,150.48387096774192,223.29032258064515,106.16129032258064,106.7741935483871,148.41379310344828,,157.7741935483871,217.6451612903226,123.48387096774194,214.03225806451613,,189.88888888888889,88.83870967741936,93.03333333333333,168.89668897865727
2019-04-01,633.5185185185185,,78.13333333333334,112.0,124.3,,190.5625,,87.53333333333333,,219.4,,213.63333333333333,105.93333333333334,94.8,151.0,117.75862068965517,,86.8,217.7,98.06666666666666,151.1,,142.16,69.93333333333334,92.82758620689656,157.21897677623178
2019-05-01,412.7692307692308,,106.77777777777777,113.25806451612904,105.38709677419355,,130.46428571428572,,103.61290322580645,,235.83870967741936,,219.4516129032258,110.89655172413794,113.41935483870968,142.16129032258064,130.55555555555554,,88.54838709677419,184.09677419354838,87.87096774193549,170.80645161290323,,130.41379310344828,75.41935483870968,123.93333333333334,146.61481556419503
2019-06-01,395.1333333333333,,66.33333333333333,106.0,70.53333333333333,,102.76923076923077,,112.66666666666667,66.52941176470588,197.76666666666668,,200.72413793103448,56.9,64.66666666666667,119.96666666666667,,,71.63333333333334,167.7,72.0,136.3448275862069,,102.88461538461539,49.88235294117647,104.23333333333333,119.19304787948965
2019-07-01,480.53333333333336,,49.6551724137931,73.70967741935483,63.74193548387097,,92.71428571428571,,88.70967741935483,67.5,145.09677419354838,,114.09677419354838,75.86206896551724,48.096774193548384,84.80645161290323,102.78947368421052,,61.935483870967744,94.41935483870968,65.45161290322581,95.58064516129032,,95.06451612903226,56.96774193548387,94.21428571428571,102.5473019590132
2019-08-01,516.8709677419355,,47.333333333333336,57.9,59.354838709677416,,100.52631578947368,,85.54838709677419,76.8076923076923,99.29032258064517,,66.19354838709677,121.0,57.25806451612903,65.83870967741936,109.61290322580645,,54.064516129032256,90.3225806451613,63.70967741935484,110.03333333333333,36.0,98.3913043478261,51.87096774193548,94.48148148148148,98.20994973638608
2019-09-01,466.14814814814815,,,79.83333333333333,72.96666666666667,73.84615384615384,94.96666666666667,85.16,103.63333333333334,87.72413793103448,106.53333333333333,,88.56666666666666,48.233333333333334,49.96666666666667,76.33333333333333,81.52,,46.36666666666667,76.63333333333334,58.06666666666667,107.06666666666666,40.888888888888886,72.26086956521739,60.48275862068966,80.91666666666667,93.55064956061209
2019-10-01,621.3333333333334,,54.75,149.16129032258064,81.12903225806451,135.32258064516128,102.96296296296296,140.2258064516129,102.90322580645162,94.27586206896552,251.0,,215.3548387096774,99.2,78.51612903225806,137.80645161290323,102.84,,125.51612903225806,205.38709677419354,94.74193548387096,211.22222222222223,54.0,82.94736842105263,63.45161290322581,95.74074074074075,143.4690703818059
2019-11-01,451.0,,117.8,192.76666666666668,96.2,205.6,157.60714285714286,168.46666666666667,121.96666666666667,71.17241379310344,356.1,,311.06666666666666,140.4,137.96666666666667,163.2,186.85714285714286,,204.93333333333334,329.3666666666667,136.23333333333332,362.1333333333333,29.142857142857142,211.04545454545453,78.86666666666666,151.6206896551724,190.5005377181539
2019-12-01,293.5483870967742,,116.58064516129032,137.93548387096774,81.7741935483871,185.51612903225808,141.5483870967742,139.6451612903226,80.16129032258064,70.7,353.9032258064516,,287.48387096774195,268.9032258064516,131.32258064516128,130.0,193.80645161290323,,208.90322580645162,292.19354838709677,182.32258064516128,356.1290322580645,,243.43333333333334,90.6774193548387,117.86666666666666,186.56158357771258
2020-01-01,294.1111111111111,,88.03225806451613,104.80645161290323,95.3225806451613,160.51612903225808,155.5185185185185,94.06451612903226,87.51612903225806,76.43333333333334,308.4516129032258,136.85714285714286,242.2258064516129,291.64516129032256,104.54838709677419,112.45161290322581,162.93548387096774,156.11111111111111,216.93548387096774,272.64516129032256,168.6451612903226,262.83870967741933,68.61904761904762,301.41379310344826,78.25806451612904,124.5,166.61611069324528
2020-02-01,547.6896551724138,,67.10344827586206,128.74074074074073,96.48275862068965,128.6206896551724,136.37037037037038,93.37931034482759,78.13793103448276,83.96428571428571,262.13793103448273,96.17241379310344,197.13793103448276,266.62068965517244,94.96551724137932,125.24137931034483,167.0,121.06896551724138,197.72413793103448,216.6551724137931,159.20689655172413,201.20689655172413,93.57692307692308,192.32142857142858,88.62068965517241,97.75,157.51584649067408
2020-03-01,277.46666666666664,65.35,52.54838709677419,83.73333333333333,90.74193548387096,109.71428571428571,124.1,55.41935483870968,70.29032258064517,78.27272727272727,135.83870967741936,84.03571428571429,122.03225806451613,193.80645161290323,78.74193548387096,100.93548387096774,163.16666666666666,129.16666666666666,122.83870967741936,134.0,104.64516129032258,158.41935483870967,67.87096774193549,117.25,74.74193548387096,85.1,110.77796262876906
2020-04-01,120.73333333333333,39.233333333333334,44.4,58.708333333333336,68.53333333333333,113.78260869565217,137.92307692307693,44.58620689655172,63.5,84.82352941176471,113.0,70.1,111.16666666666667,127.83333333333333,65.0,86.2,121.4,77.03333333333333,70.36666666666666,106.73333333333333,74.33333333333333,131.16666666666666,75.75,132.13793103448276,57.06666666666667,54.32142857142857,86.5320428794727
2020-05-01,128.67741935483872,24.193548387096776,59.096774193548384,77.6774193548387,73.16129032258064,104.45161290322581,129.13333333333333,74.12903225806451,78.6774193548387,57.93103448275862,148.6451612903226,97.2258064516129,146.80645161290323,52.74193548387097,79.35483870967742,113.25806451612904,135.58064516129033,84.72413793103448,53.16129032258065,119.09677419354838,63.935483870967744,138.51612903225808,32.45161290322581,101.33333333333333,55.96774193548387,64.90322580645162,88.26275063460827
2020-06-01,97.35714285714286,20.862068965517242,47.86666666666667,101.53333333333333,55.166666666666664,71.66666666666667,117.33333333333333,66.5,103.06666666666666,38.36666666666667,125.73333333333333,103.81481481481481,132.73333333333332,42.3,47.06666666666667,94.1,136.53333333333333,93.86666666666666,46.46666666666667,96.5,53.3,82.36666666666666,32.67857142857143,81.05555555555556,45.4,82.2,77.53210847262572
2020-07-01,119.0,20.0,54.0,78.0,43.0,69.0,,66.0,92.0,,101.0,111.0,157.0,36.0,48.0,70.0,86.0,102.0,45.0,76.0,53.0,98.0,24.0,101.0,41.0,50.0,72.5
